Execução,Distância Total,Melhor Caminho,Tempo de Execução
59,325.2834419390382,"[14 28 18 52 59 80 53 83 72  6 60 17 96 30 70 42 68 46 25 37 92 75 66 87
 82 39 65 50 67  9 86 48  8 51 76 79 88 10 26 64 90 38  4  5 77 71 62 15
 78 57 36 54 23 41 61 74  1 43 21 32 97 35 56 13  7 33 44 85 91 63 98 11
 69 99 84 94 93 27 19 81 45 31 95 73 40 24 29  2 49  3 89 22 34  0 20 16
 58 47 55 12]",27.074211597442627
87,336.8516001331841,"[14 18 28 10 58 47 15 78 55 12  6 60 17 96 30 70 42 40 73 59 80 53 83 72
 52  3 69 99 23 54 25 37 92 75 46 93 81  0 20 16 62 95 76 71 77  5 64 90
 65 26 50 88 45 86  9 49 51 31 79 67  4 38 87 82 39 57 36 66 27 19 68 48
 34  8 94 84 61 41 11 56 33 44  7 13 35 97 74  1 43 21 98 63 91 85 32 22
 89 29 24  2]",24.5554039478302
84,338.6671239160359,"[36 57 65 90 64 88 50 79 67 45 68 69 98 63 91 44 33  7 13 14 18 52 59 73
 40 95 62 55 47 58 16 20  0 10 26  4 75 92 37 25 46 27 19 81 24  2 49  9
 86 94 99  8 48 34  3 51 31 71 77  5 28 56 35 97 85 21 11 84 93 54 23 41
 61 74  1 43 32 22 89 29 76 38 87 66 82 39 78 15 12  6 60 30 70 42 72 83
 80 53 96 17]",22.97637939453125
13,338.82338484126427,"[12 55 78 15 47 58 16 62 72 83 69 11 41 61 23 54 93 88 50 10 65 57 36 39
 66  4 19 27 75 92 37 25 46 98 63 22 32 21 43  1 74 91 85 56 35 97 99 84
 94 81 68 45 48 34  8 86  9 51  2 29 52 59 80 53 73 40 42 70 30 96 17 60
  6 82 87 38 90 64 26  0 20 77  5 71 76 95 24 49 89 18 14 33 44  7 13 28
  3 31 79 67]",25.133684396743774
11,339.2101642491274,"[25 37 92 75 81 88 50 10 26 64 82 87 66 39 15 47 55 78 57 36 90 68 69 98
 21 63 91 44 33  7 14 18 28 89 52 83 72 24 29  2 49  3 34 43  1 11 99 45
  5 71 62 16 58 20  0 77 67  9 86 48 22 32 97 35 56 13 85 74 61 41 23 84
 93 27 94  8 59 80 53 73 40 76 79 51 31 95 42 70 30 96 17 60  6 12 65 38
  4 19 46 54]",24.963116884231567
3,339.62561545851065,"[55 15 78 57 36 39 82 66 87 38  4 79  2 29 76 71 77  5 50 10  0 16 20 81
 94 99 63 91 22 34 48  8 86  9 67 88 65 47 58  3 89 18 28 56 14 13 85  7
 44 33 59 80 53 72 42 70 30 96 17 60 26 64 90 68 45 31 51 49 69 98 21 43
  1 74 61 41 23 54 46 93 27 19 75 92 37 25 84 11 32 97 35 52 83 73 40 24
 95 62  6 12]",24.69817543029785
92,342.5921675951611,"[20  0 26 64 65 36 57 78 55 16 58 47 15 39 82 87 90 88 76 24 95 71 77  5
 10 50 79  2 29 40 42 62 12  6 60 17 96 30 70 72 83 73 59 52 56 85 91 63
 22 51 31 67  9 86 45 94 84 93 46 37 92 27  8 34 89 18 28 35 97 32 69 99
 41 61 98 33 44  7 13 14 53 80 49  3 48 68 81 19  4 38 66 75 25 54 23 11
 21 43  1 74]",18.963973999023438
28,347.4450120615019,"[12 55  0 10 50 88 86 48 69 11  1 74 43 21 35 56 14 13 85 91 63 98 54 25
 37 92 75 89 28 18 52 59 80 53 83 73 40 42 16 15 78 57 36 39 23 61 41 99
  8 34  3 49  9 51 31 76 71 77 26 38 87 82 66  4 94 68 45 64 90 65 47 58
 20  5 67 79 95  2 29 24 72 70 30 96 17 60  6 62 81 19 27 93 46 84 22 32
 97  7 33 44]",23.408047199249268
41,352.3067332033384,"[95 24  2 51 48  8 69 99 34  3 49 29 52 18 28 85 91  7 13 97 32 98 19 27
 93 84 11 43  1 74 61 41 21 63 44 33 14 56 35 22 89 88 10  0 20 65 36 57
 12  6 72 83 53 80 59 73 40 76 67  4 38 87 66 82 39 90 64 26 50 45 68 86
  9 79 71 62 16 58 47 15 78 55 77  5 81 75 92 37 25 46 54 23 94 31 42 70
 30 96 17 60]",18.836435317993164
89,352.3084305921578,"[17 96 30 60  6 12 70 42 72 83 73 40 95 45 81 46 25 37 92 75 66 65 58 16
 20  0 10 26 50 79 76 31 51  3  7 33 44 91 63 21 43 74  1 11 99 86  9 14
 13 56 35 48  8 34 22 32 28 18 52 59 80 53 24 49 94 93 27 19 36 57 78 15
 47 55 62 71 77  5 88 68 84 41 61 23 54  4 38 87 82 39 90 64 67  2 29 89
 97 85 98 69]",20.656707763671875
